store_name,square_footage,operation_type,georeference,Zip_Code_Clean
ROSNER’S MEAT,2800.0,Store,POINT (-73.962764299 40.598267624),11223
BRONX FAMOUS DELI,,Store,POINT (-73.902965791 40.822522091),10456
BITE PLANT BASED,,Store,POINT (-73.984270838 40.750712064),10018
ALS FRUIT & VEGETABLES,900.0,Store,POINT (-73.895530037 40.866850163),10468
ABU KHALIL DELI & GRILL,1000.0,Store,POINT (-73.800583945 40.703380085),11432
PUERTO PLATA DELI GROCERY,1750.0,Store,POINT (-73.756330513 40.713660908),11423
NEW L&C FISH MARKET,2400.0,Store,POINT (-73.961752855 40.649799481),11226
174TH GRAND FOODMART,1800.0,Store,POINT (-73.915259109 40.847060741),10453
EL NILE MARKET,,Store,POINT (-74.103080711 40.616476178),10301
MI LUPITA GROCERY,2000.0,Store,POINT (-73.926224817 40.861232235),10040
FRUTAS Y ABARROTES HM,1000.0,Store,POINT (-74.078492734 40.638201484),10301
KRAVE CAFE & DELI,1500.0,Store,POINT (-73.958116869 40.769463638),10021
TONY DELI & GROCERY,,Store,POINT (-73.855603428 40.751525024),11368
U & G CORP,1300.0,Store,POINT (-73.920550018 40.866949866),10034
NOTTINGHAM PHARMACY,,Store,POINT (-73.955645549 40.61838063),11230
HEGEMAN CONVENIENCE,,Store,POINT (-73.908431294 40.656245123),11212
TOP HELL MINI MART MARKET,,Store,POINT (-73.848378981 40.82139133),10473
ONE STOP FAMILY MART,,Store,POINT (-73.921351579 40.700656385),11237
CAPA DELI & GROCERY,1200.0,Store,POINT (-73.923688873 40.864609303),10034
SAMS GLENDALE SMOKE N CONVENIENCE,,Store,POINT (-73.891656089 40.70093697),11385
SOUTH SHORE DELI & CONVENIENCE 1,1500.0,Store,POINT (-74.241932805 40.510750665),10307
ALJAZEERA HALAL MEAT MARKET,3000.0,Store,POINT (-74.07931592 40.598804108),10305
CLASSIC DELI & ORGANIC,,Store,POINT (-73.937459921 40.694362708),11206
GOURMET SQUARE ORGANIC MARKET,3700.0,Store,POINT (-74.000353278 40.747690175),10001
BROOKLYN HEIGHTS DELI,,Store,POINT (-73.932489368 40.684434511),11233
OCEAN DELI & GRILLTHE,2500.0,Store,POINT (-73.961469295 40.650115898),11226
3RD AVE BLUE STAR,1300.0,Store,POINT (-73.924941716 40.812114869),10454
HARRY COFFEE GROCERY SHOP,,Store,POINT (-73.941673587 40.67102246),11213
RIDGE MINI MARKET AND DELI 1,,Store,POINT (-73.982999052 40.719576311),10002
FOREST DELI AND CONVENIENCE,,Store,POINT (-73.898973909 40.699652611),11385
TOP DELI & MORE,,Store,POINT (-73.86507875 40.871561882),10467
N & M'S BROOKLYN DELI,1200.0,Store,POINT (-73.991938855 40.575970211),11224
KANZ DELI,,Store,POINT (-73.927736829 40.672093793),11213
DUANE READE #21437,,Store,POINT (-73.99159528 40.750946254),10119
HABIBIS DELI & GRILL,1500.0,Store,POINT (-73.983799607 40.58796065),11223
74TH ST GOURMET,,Store,POINT (-73.878516869 40.712921624),11379
BIANCAS DELI,,Store,POINT (-73.862896857 40.746979392),11368
230 DELI & GRILL,,Store,POINT (-73.983414291 40.677254573),11215
BAGEL BOX 2,2000.0,Store,POINT (-74.164658531 40.559531371),10308
LA PETITE EPICERIE NYC,800.0,Store,POINT (-73.955098714 40.77436043),10075
SOCOTRA MEAT MARKET,1000.0,Store,POINT (-73.865007504 40.865334967),10467
DOLLAR DEALS,,Store,POINT (-73.92867109 40.83434015),10452
SAL CONVENIENT,2000.0,Store,POINT (-73.957824173 40.644785553),11226
MOODY GROCERY,800.0,Store,POINT (-73.923424424 40.812862954),10454
MORRO DELI GROCERY,800.0,Store,POINT (-73.92201618 40.818662099),10451
BAY 35 ST GROCERY,1500.0,Store,POINT (-73.99404003 40.59611775),11214
DELI GROCERY 137A,,Store,POINT (-73.917753815 40.8061708),10454
NO7 GROCERY,,Store,POINT (-73.98806717 40.621436211),11204
BEIBEI MARKET,,Store,POINT (-74.001776108 40.643185573),11220
93 CANDY CITY STORE,,Store,POINT (-73.873811017 40.750979111),11372
SAL CANDY & LOTTO,,Store,POINT (-74.029658173 40.626489492),11209
